orbit_lengths	representatives
4,4,4,4,8,16,16,32,32	33840
4,4,8,8,16,16,32,32	26352
8,8,8,16,16,64	18847
8,8,8,8,8,8,8,64	16136
2,2,4,4,4,8,16,16,32,32	16041
4,4,8,8,8,8,8,8,64	15519
4,4,4,4,8,16,16,16,16,32	14920
4,4,4,4,8,32,32,32	14418
4,4,4,4,4,4,16,16,32,32	13452
4,4,8,8,16,16,64	13305
4,4,8,8,16,16,16,16,32	12430
8,16,16,16,64	11572
4,4,8,8,8,8,8,8,32,32	11344
8,8,8,16,16,32,32	10917
4,4,4,4,8,8,8,8,8,32,32	9740
4,4,4,4,4,4,32,32,32	9504
2,2,4,8,8,16,16,32,32	9173
4,4,8,8,32,32,32	8799
4,4,4,4,4,4,16,16,16,16,32	7617
2,2,4,4,4,8,16,16,16,16,32	7575
4,4,4,4,8,8,8,8,8,16,16,16,16	7188
4,4,8,8,8,8,8,8,16,16,16,16	7067
2,2,4,4,4,4,4,16,16,32,32	6949
2,2,4,4,4,8,32,32,32	6630
8,16,16,16,32,32	6397
4,4,4,4,8,8,8,16,32,32	6204
4,4,4,4,8,16,16,16,16,16,16	6158
4,4,8,8,8,8,16,32,32	5952
4,4,8,8,16,16,16,16,16,16	5772
2,2,4,8,8,16,16,64	5584
4,4,4,4,8,8,8,8,8,64	5398
4,4,8,8,32,64	5210
8,8,8,16,16,16,16,16,16	5146
8,8,8,8,8,8,8,32,32	5033
8,16,32,64	5030
4,4,8,8,8,8,16,16,16,32	4827
4,4,4,4,8,8,8,16,16,16,32	4659
2,2,4,4,4,4,4,16,16,16,16,32	4612
4,4,4,4,4,4,8,8,8,8,32,32	4503
8,8,8,16,16,16,16,32	4380
2,2,4,4,4,8,8,8,16,32,32	4379
4,4,4,4,4,4,8,8,8,8,16,16,16,16	4186
2,2,4,4,4,4,4,32,32,32	4134
2,2,4,8,8,16,16,16,16,32	4026
8,8,8,32,64	3874
4,4,4,4,8,8,8,16,16,16,16,16	3452
2,2,2,2,4,4,8,16,16,32,32	3408
2,2,4,8,8,32,32,32	3367
2,2,4,4,4,8,8,8,16,16,16,32	3208
4,4,4,4,8,16,16,64	3161
4,4,8,8,8,8,16,16,16,16,16	3121
4,4,4,4,4,4,16,16,16,16,16,16	3077
4,4,4,4,8,8,8,8,8,16,16,32	2985
2,2,4,4,4,8,8,8,8,8,32,32	2864
8,16,16,16,16,16,16,16	2812
2,2,4,4,4,8,16,16,16,16,16,16	2734
4,4,8,8,8,8,16,64	2652
8,8,8,8,8,8,8,16,16,16,16	2633
4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8	2575
4,4,16,16,16,64	2463
2,2,2,2,4,4,8,16,16,16,16,32	2442
8,16,32,32,32	2437
4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8	2342
2,2,4,8,8,8,8,16,32,32	2329
2,2,4,4,4,8,8,8,8,8,16,16,16,16	2305
4,4,16,16,16,32,32	2282
4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8	2174
4,4,4,4,8,8,8,8,8,8,8,16,16,16	2138
8,8,8,32,32,32	2134
2,2,4,4,4,8,8,8,16,16,16,16,16	2043
4,4,4,4,4,4,8,8,8,8,64	2006
2,2,4,4,4,4,4,8,8,8,8,16,16,16,16	2005
8,8,8,8,8,16,16,16,16,16	1987
4,4,4,4,4,4,8,8,8,8,16,16,32	1955
4,4,4,4,4,4,4,4,8,8,8,32,32	1953
2,2,4,8,8,8,8,16,16,16,32	1914
2,2,4,4,4,4,4,16,16,16,16,16,16	1877
2,2,2,2,8,8,8,8,8,8,64	1862
2,2,2,2,4,4,4,4,16,16,32,32	1837
2,2,4,8,8,32,64	1824
2,2,4,4,4,8,8,8,8,8,16,16,32	1816
2,2,2,2,4,4,4,4,16,16,16,16,32	1774
4,4,8,8,8,8,8,8,8,8,16,16,16	1772
4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8	1670
2,2,2,2,4,4,8,8,8,8,8,32,32	1563
4,4,4,4,4,4,4,4,8,8,8,16,16,16,16	1528
2,2,4,4,4,4,4,8,8,8,8,32,32	1517
4,4,8,8,8,8,8,8,16,16,32	1514
8,8,8,8,8,16,32,32	1482
2,2,2,2,4,4,8,8,8,8,8,16,16,16,16	1459
2,2,4,4,4,4,4,8,8,8,8,16,16,32	1450
2,2,4,4,4,8,16,16,64	1424
2,2,2,2,8,8,8,8,8,8,32,32	1396
2,2,2,2,8,8,16,16,32,32	1321
8,8,8,8,8,16,64	1319
4,4,16,32,64	1274
2,2,4,4,4,8,8,8,16,64	1225
4,4,4,4,4,4,8,8,8,8,8,8,16,16,16	1222
2,2,2,2,4,4,4,4,8,8,8,8,16,16,16,16	1171
4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8	1137
2,2,4,8,8,16,16,16,16,16,16	1130
2,2,2,2,4,4,4,4,16,16,16,16,16,16	1095
2,2,2,2,4,4,8,16,16,16,16,16,16	1084
2,2,4,8,8,8,8,8,8,32,32	1078
2,2,2,2,4,4,8,32,32,32	1076
4,4,4,4,8,8,8,8,8,8,8,8,8,16,16	1031
4,4,4,4,4,4,8,8,8,8,8,8,8,8,16,16	1026
