order	conjugacy_classes
1	1
2	6
3	4
4	86
5	2
6	33
7	1
8	1231
9	9
10	10
12	186
14	3
15	3
16	10843
17	1
18	65
20	32
21	3
24	866
25	1
27	10
28	1
30	17
32	49818
34	1
36	186
40	54
42	7
45	1
48	2367
50	3
54	54
56	7
60	38
63	1
64	117527
68	1
72	446
80	50
81	7
84	2
90	7
96	4610
100	7
108	103
112	7
120	79
126	3
128	152415
136	1
144	714
160	48
162	30
168	15
180	24
192	7111
200	7
216	131
240	131
243	1
252	1
256	135501
288	759
300	3
320	78
324	50
336	17
360	64
384	7345
400	3
432	129
448	14
480	151
486	7
504	9
512	83862
540	2
576	893
600	7
640	91
648	75
672	2
720	79
768	5744
800	1
864	108
896	12
960	74
972	9
1008	10
1024	37185
1080	18
1152	863
1200	7
1280	59
1296	57
1344	21
1440	101
1512	5
1536	4450
1728	89
1792	1
1800	1
1920	48
1944	13
2016	1
2048	14084
2160	46
2304	804
2400	2
2448	1
2520	2
2560	20
2592	20
2688	19
2880	112
3024	3
3072	3254
3240	1
3456	76
3584	10
3600	7
3840	85
3888	12
4032	3
4080	2
4096	4853
4320	39
4536	1
4608	453
5040	4
5120	11
5184	8
5376	1
5760	44
6048	2
6144	1400
6480	7
6912	69
7168	10
7200	15
7560	1
7680	106
7776	3
8064	3
8160	2
8192	1195
8640	26
9072	1
9216	236
10080	1
10240	16
10368	8
10752	22
11520	20
12096	6
12288	639
12960	11
13824	60
14400	9
15120	3
15360	46
15552	3
16320	2
16384	221
17280	21
18144	1
18432	150
20160	4
20480	14
20736	8
21504	23
21600	2
23040	41
24192	2
24576	270
25920	9
27648	33
28672	1
28800	2
30240	1
30720	10
31104	1
32256	2
32768	31
34560	4
36288	3
36864	134
40320	7
40960	7
41472	9
43008	1
43200	6
46080	57
49152	111
51840	5
55296	15
57344	2
60480	1
61440	14
64512	3
65536	1
69120	3
72576	1
73728	92
77760	2
80640	2
81920	1
82944	10
86016	10
86400	2
92160	25
98304	43
103680	1
110592	14
120960	3
122880	15
129600	1
138240	2
147456	35
155520	4
161280	2
165888	2
172032	12
181440	2
184320	6
193536	1
196608	4
221184	12
241920	1
245760	11
258048	3
259200	3
276480	3
294912	18
311040	1
322560	3
362880	1
368640	5
442368	7
491520	2
516096	3
518400	3
552960	1
589824	3
645120	1
688128	1
737280	8
774144	1
884736	1
979200	1
1036800	1
1290240	2
1376256	2
1451520	3
1474560	5
1548288	1
1658880	1
1814400	1
1958400	1
2064384	1
2211840	1
2580480	4
2903040	2
2949120	1
3317760	3
3628800	1
4128768	1
4354560	1
4423680	3
5160960	1
6635520	1
8709120	1
8847360	1
20643840	1
174182400	1
185794560	1
197406720	1
348364800	1
394813440	1
47377612800	1
