rep_id	structure	alias	order	normalizer_order	actual_subgroups	orbit_lengths	parent_count	maximal_count	composition_factor_count
1871	A5	-	60	960	49351680	1,1,12,12,12,12,15,15,20,20	1	3	1
1872	A5	-	60	240	197406720	10,10,20,20,30,30	1	3	1
1873	A5	-	60	480	98703360	30,30,30,30	1	3	1
2094	A5	-	60	120	394813440	10,20,30,30,30	1	3	1
6810	A5	-	60	7200	6580224	60,60	1	3	1
6811	A5	-	60	86400	548352	6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10	1	3	1
9452	A5	-	60	720	65802240	20,20,20,60	1	3	1
18865	A5	-	60	86400	548352	1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10	1	3	1
19195	A5	-	60	5760	8225280	1,1,1,1,6,6,6,6,6,6,10,10,15,15,15,15	1	3	1
52578	A5	-	60	2880	16450560	6,6,6,6,10,10,10,10,12,12,12,20	1	3	1
3097	PSL(3,2)	-	168	672	70502400	8,28,28,56	1	3	1
3485	PSL(3,2)	-	168	2016	23500800	1,7,7,21,28,28,28	1	3	1
3486	PSL(3,2)	-	168	336	141004800	8,56,56	1	3	1
3488	PSL(3,2)	-	168	336	141004800	8,14,42,56	1	3	1
9055	PSL(3,2)	-	168	1008	47001600	1,7,7,7,7,21,21,21,28	1	3	1
656971	PSL(3,2)	-	168	336	141004800	1,21,42,56	1	3	1
576	A6	-	360	1440	32901120	60,60	1	5	1
577	A6	-	360	1440	32901120	60,60	1	5	1
3519	A6	-	360	4320	10967040	120	1	5	1
7919	A6	-	360	34560	1370880	1,1,1,1,6,6,6,6,6,6,15,15,15,15,20	1	5	1
20941	A6	-	360	518400	91392	6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10	1	5	1
2581	PSL(2,8)	-	504	9072	5222400	28,28,28,36	1	3	1
3270	PSL(2,8)	-	504	3024	15667200	1,56,63	1	3	1
4538	PSL(2,8)	-	504	1008	47001600	28,36,56	1	3	1
4539	PSL(2,8)	-	504	1008	47001600	28,28,28,36	1	3	1
4845	PSL(2,8)	-	504	1512	31334400	36,84	1	3	1
11	PSL(2,17)	-	2448	2448	19353600	18,102	1	5	1
1047	A7	-	2520	5040	9400320	120	1	5	1
3006	A7	-	2520	30240	1566720	1,7,7,7,21,21,21,35	1	5	1
809	PSL(2,16)	-	4080	16320	2903040	1,51,68	1	4	1
810	PSL(2,16)	-	4080	16320	2903040	120	1	4	1
4127	PSU(3,3)	-	6048	72576	652800	28,28,28,36	1	4	1
5427	PSU(3,3)	-	6048	24192	1958400	1,56,63	1	4	1
247	A8	-	20160	20160	2350080	120	1	6	1
248	A8	-	20160	40320	1175040	120	1	6	1
1251	A8	-	20160	80640	587520	8,28,28,56	1	6	1
4835	A8	-	20160	241920	195840	1,28,28,28,35	1	6	1
4891	O(5,3)	PSp(4,3)	25920	311040	152320	1,1,1,27,27,27,36	1	5	1
656999	O(5,3)	PSp(4,3)	25920	155520	304640	120	1	5	1
316	A9	-	181440	362880	130560	36,84	1	8	1
656976	A9	-	181440	181440	261120	120	1	8	1
59	O(5,4)	Sp(4,4)	979200	1958400	24192	120	1	7	1
399	O(7,2)	Sp(6,2)	1451520	2903040	16320	1,56,63	1	8	1
400	O(7,2)	Sp(6,2)	1451520	8709120	5440	28,28,28,36	1	8	1
656977	O(7,2)	Sp(6,2)	1451520	1451520	32640	120	1	8	1
66	A10	-	1814400	3628800	13056	120	1	7	1
656969	O+(8,2)	Omega+(8,2)	174182400	348364800	136	120	1	17	1
656970	O-(8,2)	Omega-(8,2)	197406720	394813440	120	1,119	1	8	1
1	O(9,2)	Sp(8,2)	47377612800	47377612800	1	120	0	11	1
